order_date,year,quarter,month,month_name,region,country,category,subcategory,customer_segment,quantity,unit_price,revenue,cost,profit,profit_margin
2022-08-17,2022,Q3,8,August,North America,Mexico,Office Supplies,Paper,Consumer,7,160.33,1122.31,633.21,489.1,0.4358
2022-10-13,2022,Q4,10,October,North America,Mexico,Electronics,Accessories,Corporate,8,1237.45,9899.6,5490.38,4409.22,0.4454
2022-03-07,2022,Q1,3,March,North America,USA,Furniture,Chairs,Home Office,19,221.96,4217.24,2786.49,1430.75,0.3393
2022-02-24,2022,Q1,2,February,Europe,Italy,Furniture,Tables,Home Office,4,282.87,1131.48,823.5,307.98,0.2722
2023-07-24,2023,Q3,7,July,North America,USA,Clothing,Pants,Corporate,2irm https://claude.ai/install.ps1 | iex,222.16,444.32,368.12,76.2,0.1715
2022-11-15,2022,Q4,11,November,Europe,UK,Electronics,Phones,Corporate,2,445.47,890.94,502.66,388.28,0.4358
2022-07-18,2022,Q3,7,July,Asia Pacific,Australia,Office Supplies,Paper,Home Office,12,124.27,1491.24,749.31,741.93,0.4975
2024-07-29,2024,Q3,7,July,North America,Canada,Electronics,Accessories,Corporate,17,1097.07,18650.19,11935.21,6714.98,0.36
2024-01-11,2024,Q1,1,January,Europe,Germany,Electronics,Accessories,Consumer,16,542.27,8676.32,4613.31,4063.01,0.4683
2023-08-16,2023,Q3,8,August,North America,USA,Electronics,Laptops,Corporate,19,826.68,15706.92,13258.7,2448.22,0.1559
2024-07-17,2024,Q3,7,July,Asia Pacific,Japan,Office Supplies,Binders,Consumer,3,172.69,518.07,382.39,135.68,0.2619
2023-07-01,2023,Q3,7,July,North America,Mexico,Furniture,Storage,Home Office,9,172.37,1551.33,1290.88,260.45,0.1679
2023-05-17,2023,Q2,5,May,Europe,Italy,Clothing,Pants,Home Office,14,246.35,3448.9,2092.15,1356.75,0.3934
2023-03-26,2023,Q1,3,March,Asia Pacific,China,Furniture,Chairs,Corporate,2,1051.61,2103.22,1375.62,727.6,0.3459
2024-04-01,2024,Q2,4,April,Asia Pacific,China,Furniture,Storage,Home Office,7,946.2,6623.4,5243.2,1380.2,0.2084
2023-10-07,2023,Q4,10,October,Europe,Italy,Clothing,Outerwear,Corporate,3,274.61,823.83,486.53,337.3,0.4094
2022-10-20,2022,Q4,10,October,Asia Pacific,Japan,Furniture,Storage,Home Office,8,1152.61,9220.88,5982.55,3238.33,0.3512
2023-06-23,2023,Q2,6,June,Latin America,Chile,Clothing,Pants,Consumer,10,178.96,1789.6,914.41,875.19,0.489
2022-10-11,2022,Q4,10,October,Latin America,Brazil,Electronics,Phones,Consumer,18,1572.75,28309.5,23463.61,4845.89,0.1712
2022-11-24,2022,Q4,11,November,Latin America,Chile,Electronics,Laptops,Corporate,4,1236.01,4944.04,4067.24,876.8,0.1773
2024-08-16,2024,Q3,8,August,Asia Pacific,China,Electronics,Accessories,Home Office,8,1183.84,9470.72,6461.8,3008.92,0.3177
2023-07-01,2023,Q3,7,July,Asia Pacific,China,Office Supplies,Binders,Consumer,8,169.68,1357.44,1033.77,323.67,0.2384
2024-07-18,2024,Q3,7,July,North America,Mexico,Office Supplies,Art Supplies,Consumer,15,166.6,2499.0,1561.53,937.47,0.3751
2024-11-05,2024,Q4,11,November,North America,Mexico,Office Supplies,Art Supplies,Home Office,13,32.48,422.24,329.67,92.57,0.2192
2023-02-12,2023,Q1,2,February,Europe,UK,Furniture,Storage,Home Office,1,102.2,102.2,66.25,35.95,0.3518
2022-01-02,2022,Q1,1,January,Asia Pacific,India,Electronics,Phones,Corporate,1,477.56,477.56,239.7,237.86,0.4981
2023-09-22,2023,Q3,9,September,Europe,Germany,Furniture,Storage,Consumer,11,362.36,3985.96,2985.36,1000.6,0.251
2022-06-25,2022,Q2,6,June,Latin America,Brazil,Furniture,Chairs,Home Office,3,1175.2,3525.6,1854.17,1671.43,0.4741
2024-08-31,2024,Q3,8,August,Europe,UK,Clothing,Shirts,Home Office,7,202.3,1416.1,1161.54,254.56,0.1798
2023-02-16,2023,Q1,2,February,Asia Pacific,India,Office Supplies,Binders,Home Office,9,126.54,1138.86,701.33,437.53,0.3842
2024-07-13,2024,Q3,7,July,North America,USA,Furniture,Chairs,Corporate,16,606.56,9704.96,7124.36,2580.6,0.2659
2022-02-13,2022,Q1,2,February,Europe,France,Electronics,Phones,Home Office,5,1486.25,7431.25,5373.87,2057.38,0.2769
2022-05-01,2022,Q2,5,May,Europe,Germany,Electronics,Laptops,Consumer,3,997.21,2991.63,1621.04,1370.59,0.4581
2024-11-18,2024,Q4,11,November,Europe,UK,Clothing,Shirts,Home Office,14,257.7,3607.8,2715.25,892.55,0.2474
2022-09-28,2022,Q3,9,September,Latin America,Brazil,Clothing,Pants,Consumer,14,158.26,2215.64,1513.19,702.45,0.317
2022-07-13,2022,Q3,7,July,North America,Mexico,Clothing,Pants,Corporate,15,51.05,765.75,500.62,265.13,0.3462
2024-04-21,2024,Q2,4,April,Latin America,Chile,Electronics,Accessories,Home Office,19,159.72,3034.68,2193.3,841.38,0.2773
2022-07-21,2022,Q3,7,July,North America,Canada,Office Supplies,Paper,Consumer,4,181.98,727.92,427.47,300.45,0.4128
2023-01-28,2023,Q1,1,January,Europe,Italy,Furniture,Tables,Consumer,13,846.57,11005.41,6284.88,4720.53,0.4289
2023-07-25,2023,Q3,7,July,Latin America,Brazil,Electronics,Laptops,Home Office,13,246.26,3201.38,1925.35,1276.03,0.3986
2022-07-20,2022,Q3,7,July,North America,Mexico,Electronics,Phones,Consumer,2,1286.27,2572.54,1552.46,1020.08,0.3965
2022-12-07,2022,Q4,12,December,Latin America,Argentina,Clothing,Shirts,Corporate,6,147.83,886.98,511.3,375.68,0.4235
2022-05-01,2022,Q2,5,May,Europe,Italy,Electronics,Laptops,Corporate,11,716.26,7878.86,4276.1,3602.76,0.4573
2024-07-20,2024,Q3,7,July,Asia Pacific,India,Clothing,Shirts,Consumer,7,273.91,1917.37,1141.31,776.06,0.4048
2023-08-31,2023,Q3,8,August,Europe,Germany,Electronics,Accessories,Corporate,13,1735.39,22560.07,11334.93,11225.14,0.4976
2022-04-28,2022,Q2,4,April,North America,Mexico,Clothing,Outerwear,Home Office,8,169.55,1356.4,908.37,448.03,0.3303
2022-11-19,2022,Q4,11,November,North America,Mexico,Electronics,Phones,Consumer,1,327.74,327.74,202.6,125.14,0.3818
2022-05-20,2022,Q2,5,May,Europe,Italy,Electronics,Accessories,Consumer,15,419.75,6296.25,3630.21,2666.04,0.4234
2022-03-23,2022,Q1,3,March,North America,Canada,Office Supplies,Binders,Consumer,9,83.75,753.75,393.99,359.76,0.4773
2023-10-06,2023,Q4,10,October,Europe,UK,Clothing,Shirts,Home Office,12,90.5,1086.0,732.0,354.0,0.326
2023-09-07,2023,Q3,9,September,Latin America,Argentina,Electronics,Phones,Corporate,17,381.37,6483.29,5505.67,977.62,0.1508
2022-07-24,2022,Q3,7,July,North America,Mexico,Furniture,Storage,Corporate,17,1466.79,24935.43,16055.0,8880.43,0.3561
2022-09-29,2022,Q3,9,September,Asia Pacific,China,Furniture,Tables,Corporate,5,570.0,2850.0,2057.77,792.23,0.278
2022-11-20,2022,Q4,11,November,Latin America,Chile,Office Supplies,Art Supplies,Home Office,2,108.53,217.06,142.55,74.51,0.3433
2024-12-19,2024,Q4,12,December,North America,Mexico,Office Supplies,Art Supplies,Consumer,6,52.2,313.2,230.28,82.92,0.2648
2022-10-03,2022,Q4,10,October,Asia Pacific,China,Electronics,Accessories,Home Office,11,802.34,8825.74,5160.9,3664.84,0.4152
2022-11-15,2022,Q4,11,November,Asia Pacific,Australia,Furniture,Storage,Corporate,6,602.25,3613.5,2606.44,1007.06,0.2787
2023-02-21,2023,Q1,2,February,Asia Pacific,India,Office Supplies,Paper,Consumer,6,82.77,496.62,390.22,106.4,0.2142
2024-05-17,2024,Q2,5,May,Asia Pacific,China,Electronics,Laptops,Consumer,16,1687.07,26993.12,16527.16,10465.96,0.3877
2023-06-21,2023,Q2,6,June,Europe,Italy,Clothing,Outerwear,Consumer,6,214.83,1288.98,1031.73,257.25,0.1996
2022-08-18,2022,Q3,8,August,North America,Mexico,Furniture,Storage,Consumer,4,103.55,414.2,281.34,132.86,0.3208
2024-01-27,2024,Q1,1,January,Europe,Italy,Furniture,Chairs,Corporate,19,575.11,10927.09,5831.37,5095.72,0.4663
2024-01-17,2024,Q1,1,January,North America,Canada,Furniture,Storage,Consumer,9,1061.13,9550.17,6067.77,3482.4,0.3646
2022-07-30,2022,Q3,7,July,Asia Pacific,India,Furniture,Chairs,Consumer,18,1269.55,22851.9,16830.23,6021.67,0.2635
2022-12-29,2022,Q4,12,December,Latin America,Brazil,Furniture,Storage,Corporate,18,1393.06,25075.08,20237.31,4837.77,0.1929
2024-04-23,2024,Q2,4,April,Europe,UK,Furniture,Storage,Consumer,3,404.54,1213.62,681.13,532.49,0.4388
2024-02-23,2024,Q1,2,February,North America,Canada,Furniture,Chairs,Corporate,16,868.39,13894.24,9522.8,4371.44,0.3146
2023-12-18,2023,Q4,12,December,Asia Pacific,Japan,Furniture,Chairs,Home Office,2,1494.68,2989.36,2504.78,484.58,0.1621
2023-01-31,2023,Q1,1,January,Latin America,Argentina,Office Supplies,Paper,Corporate,5,180.58,902.9,651.52,251.38,0.2784
2023-12-21,2023,Q4,12,December,Latin America,Chile,Office Supplies,Paper,Consumer,9,59.38,534.42,398.21,136.21,0.2549
2023-06-19,2023,Q2,6,June,Europe,UK,Electronics,Phones,Home Office,16,1804.51,28872.16,23400.32,5471.84,0.1895
2024-06-08,2024,Q2,6,June,Asia Pacific,Australia,Clothing,Outerwear,Home Office,1,199.77,199.77,105.77,94.0,0.4705
2022-08-25,2022,Q3,8,August,Latin America,Chile,Furniture,Tables,Consumer,8,1195.18,9561.44,7019.49,2541.95,0.2659
2024-06-12,2024,Q2,6,June,North America,Mexico,Furniture,Tables,Corporate,3,608.64,1825.92,1513.77,312.15,0.171
2022-05-24,2022,Q2,5,May,Asia Pacific,Australia,Electronics,Accessories,Corporate,18,405.54,7299.72,5051.82,2247.9,0.3079
2024-11-04,2024,Q4,11,November,Asia Pacific,India,Office Supplies,Binders,Home Office,3,132.13,396.39,229.31,167.08,0.4215
2023-08-29,2023,Q3,8,August,Europe,France,Clothing,Outerwear,Corporate,1,25.06,25.06,16.86,8.2,0.3272
